Home,Home score,Away,Away score,Year
France,4,Mexico,1,1930
Argentina,1,France,0,1930
Chile,3,Mexico,0,1930
Chile,1,France,0,1930
Argentina,6,Mexico,3,1930
Argentina,3,Chile,1,1930
Yugoslavia,2,Brazil,1,1930
Yugoslavia,4,Bolivia,0,1930
Brazil,4,Bolivia,0,1930
Romania,3,Peru,1,1930
Uruguay,1,Peru,0,1930
Uruguay,4,Romania,0,1930
United States,3,Belgium,0,1930
United States,3,Paraguay,0,1930
Paraguay,1,Belgium,0,1930
Argentina,6,United States,1,1930
Uruguay,6,Yugoslavia,1,1930
Uruguay,4,Argentina,2,1930
Spain,3,Brazil,1,1934
Hungary,4,Egypt,2,1934
Switzerland,3,Netherlands,2,1934
Italy,7,United States,1,1934
Czechoslovakia,2,Romania,1,1934
Sweden,3,Argentina,2,1934
Austria,3,France,2,1934
Germany,5,Belgium,2,1934
Austria,2,Hungary,1,1934
Italy,1,Spain,1,1934
Germany,2,Sweden,1,1934
Czechoslovakia,3,Switzerland,2,1934
Italy,1,Spain,0,1934
Italy,1,Austria,0,1934
Czechoslovakia,3,Germany,1,1934
Germany,3,Austria,2,1934
Italy,2,Czechoslovakia,1,1934
Switzerland,1,Germany,1,1938
Hungary,6,Dutch East Indies,0,1938
Cuba,3,Romania,3,1938
France,3,Belgium,1,1938
Italy,2,Norway,1,1938
Brazil,6,Poland,5,1938
Czechoslovakia,3,Netherlands,0,1938
Switzerland,4,Germany,2,1938
Cuba,2,Romania,1,1938
Hungary,2,Switzerland,0,1938
Sweden,8,Cuba,0,1938
Italy,3,France,1,1938
Brazil,1,Czechoslovakia,1,1938
Brazil,2,Czechoslovakia,1,1938
Hungary,5,Sweden,1,1938
Italy,2,Brazil,1,1938
Brazil,4,Sweden,2,1938
Italy,4,Hungary,2,1938
Brazil,4,Mexico,0,1950
Yugoslavia,3,Switzerland,0,1950
Brazil,2,Switzerland,2,1950
Yugoslavia,4,Mexico,1,1950
Brazil,2,Yugoslavia,0,1950
Switzerland,2,Mexico,1,1950
England,2,Chile,0,1950
Spain,3,United States,1,1950
Spain,2,Chile,0,1950
United States,1,England,0,1950
Spain,1,England,0,1950
Chile,5,United States,2,1950
Sweden,3,Italy,2,1950
Sweden,2,Paraguay,2,1950
Italy,2,Paraguay,0,1950
Uruguay,8,Bolivia,0,1950
Uruguay,2,Spain,2,1950
Brazil,7,Sweden,1,1950
Brazil,6,Spain,1,1950
Uruguay,3,Sweden,2,1950
Sweden,3,Spain,1,1950
Uruguay,2,Brazil,1,1950
Brazil,5,Mexico,0,1954
Yugoslavia,1,France,0,1954
Brazil,1,Yugoslavia,1,1954
France,3,Mexico,2,1954
West Germany,4,Turkey,1,1954
Hungary,9,South Korea,0,1954
Hungary,8,West Germany,3,1954
Turkey,7,South Korea,0,1954
West Germany,7,Turkey,2,1954
Uruguay,2,Czechoslovakia,0,1954
Austria,1,Scotland,0,1954
Uruguay,7,Scotland,0,1954
Austria,5,Czechoslovakia,0,1954
Switzerland,2,Italy,1,1954
England,4,Belgium,4,1954
Italy,4,Belgium,1,1954
England,2,Switzerland,0,1954
Switzerland,4,Italy,1,1954
Austria,7,Switzerland,5,1954
Uruguay,4,England,2,1954
West Germany,2,Yugoslavia,0,1954
Hungary,4,Brazil,2,1954
West Germany,6,Austria,1,1954
Hungary,4,Uruguay,2,1954
Austria,3,Uruguay,1,1954
West Germany,3,Hungary,2,1954
Argentina,1,West Germany,3,1958
Northern Ireland,1,Czechoslovakia,0,1958
West Germany,2,Czechoslovakia,2,1958
Argentina,3,Northern Ireland,1,1958
West Germany,2,Northern Ireland,2,1958
Czechoslovakia,6,Argentina,1,1958
Northern Ireland,2,Czechoslovakia,1,1958
France,7,Paraguay,3,1958
Yugoslavia,1,Scotland,1,1958
Yugoslavia,3,France,2,1958
Paraguay,3,Scotland,2,1958
France,2,Scotland,1,1958
Paraguay,3,Yugoslavia,3,1958
Sweden,3,Mexico,0,1958
Hungary,1,Wales,1,1958
Mexico,1,Wales,1,1958
Sweden,2,Hungary,1,1958
Sweden,0,Wales,0,1958
Hungary,4,Mexico,0,1958
Wales,2,Hungary,1,1958
Brazil,3,Austria,0,1958
Soviet Union,2,England,2,1958
Brazil,0,England,0,1958
Soviet Union,2,Austria,0,1958
England,2,Austria,2,1958
Brazil,2,Soviet Union,0,1958
Soviet Union,1,England,0,1958
Brazil,1,Wales,0,1958
France,4,Northern Ireland,0,1958
Sweden,2,Soviet Union,0,1958
West Germany,1,Yugoslavia,0,1958
Brazil,5,France,2,1958
Sweden,3,West Germany,1,1958
France,6,West Germany,3,1958
Brazil,5,Sweden,2,1958
Uruguay,2,Colombia,1,1962
Soviet Union,2,Yugoslavia,0,1962
Yugoslavia,3,Uruguay,1,1962
Soviet Union,4,Colombia,4,1962
Soviet Union,2,Uruguay,1,1962
Yugoslavia,5,Colombia,0,1962
Chile,3,Switzerland,1,1962
West Germany,0,Italy,0,1962
Chile,2,Italy,0,1962
West Germany,2,Switzerland,1,1962
West Germany,2,Chile,0,1962
Italy,3,Switzerland,0,1962
Brazil,2,Mexico,0,1962
Czechoslovakia,1,Spain,0,1962
Brazil,0,Czechoslovakia,0,1962
Spain,1,Mexico,0,1962
Brazil,2,Spain,1,1962
Mexico,3,Czechoslovakia,1,1962
Argentina,1,Bulgaria,0,1962
Hungary,2,England,1,1962
England,3,Argentina,1,1962
Hungary,6,Bulgaria,1,1962
Hungary,0,Argentina,0,1962
England,0,Bulgaria,0,1962
